,temperature,humidity,weather_description
235,30.0,81,Broken clouds
236,30.0,84,Broken clouds
237,30.5,79,Light rain
238,31.0,74,Light rain
239,30.6,75,Light rain
240,30.2,75,Light rain
241,30.6,75,Light rain
242,31.0,74,Light rain
243,31.0,74,Light rain
244,31.0,74,Light rain
245,31.0,77,Light rain
246,31.0,79,Broken clouds
247,30.5,79,Broken clouds
248,30.0,79,Overcast clouds
249,30.0,79,Overcast clouds
250,30.0,79,Light rain
251,30.0,73,Light rain
252,30.0,67,Light rain
253,29.5,75,Light rain
254,29.0,83,Light rain
255,29.0,83,Light rain
256,29.0,83,Light rain
257,29.0,83,Light rain
258,29.0,83,Light rain
259,29.0,83,Light rain
260,29.0,83,Light rain
261,29.0,83,Light rain
262,29.0,83,Light rain
263,28.3,84,Light rain
264,27.6,84,Broken clouds
265,27.8,84,Overcast clouds
266,28.0,83,Overcast clouds
267,28.0,83,Overcast clouds
268,28.0,83,Overcast clouds
269,28.0,83,Overcast clouds
270,28.0,83,Overcast clouds
271,28.0,83,Broken clouds
272,28.0,83,Broken clouds
273,28.0,83,Broken clouds
274,28.0,83,Broken clouds
275,27.5,85,Broken clouds
276,27.0,87,Broken clouds
277,27.5,88,Broken clouds
278,28.0,88,Broken clouds
279,28.0,88,Broken clouds
280,28.0,88,Broken clouds
281,28.0,88,Broken clouds
282,28.0,88,Broken clouds
283,28.0,88,Broken clouds
284,28.0,88,Broken clouds
285,28.0,88,Broken clouds
286,28.0,88,Broken clouds
287,27.3,89,Broken clouds
288,26.6,90,Broken clouds
289,27.3,89,Broken clouds
290,28.0,88,Broken clouds
291,28.0,86,Broken clouds
292,28.0,83,Broken clouds
293,28.0,83,Broken clouds
294,28.0,83,Broken clouds
295,28.0,83,Broken clouds
296,28.0,83,Broken clouds
297,27.5,86,Broken clouds
298,27.0,88,Broken clouds
299,26.6,90,Broken clouds
300,26.2,92,Broken clouds
301,26.6,90,Broken clouds
302,27.0,88,Broken clouds
303,27.0,88,Broken clouds
304,27.0,88,Broken clouds
305,27.0,88,Broken clouds
306,27.0,88,Broken clouds
307,27.0,88,Broken clouds
308,27.0,88,Broken clouds
309,27.0,88,Broken clouds
310,27.0,88,Broken clouds
311,26.3,90,Broken clouds
312,25.6,93,Scattered clouds
313,25.8,93,Broken clouds
314,26.0,94,Broken clouds
315,26.0,94,Broken clouds
316,26.0,94,Broken clouds
317,26.5,91,Broken clouds
318,27.0,88,Broken clouds
319,27.0,91,Broken clouds
320,27.0,94,Broken clouds
321,27.5,91,Broken clouds
322,28.0,88,Broken clouds
323,28.0,88,Broken clouds
324,28.0,87,Broken clouds
325,28.5,88,Broken clouds
326,29.0,88,Broken clouds
327,29.5,86,Broken clouds
328,30.0,84,Overcast clouds
329,30.5,81,Overcast clouds
330,31.0,79,Overcast clouds
331,31.0,79,Overcast clouds
332,31.0,79,Overcast clouds
333,30.5,81,Overcast clouds
334,30.0,84,Overcast clouds
335,30.3,81,Overcast clouds
336,30.6,79,Overcast clouds
337,30.3,79,Overcast clouds
338,30.0,79,Overcast clouds
339,30.0,81,Overcast clouds
340,30.0,84,Overcast clouds
341,30.5,81,Overcast clouds
342,31.0,79,Overcast clouds
343,30.5,81,Overcast clouds
344,30.0,84,Overcast clouds
345,30.0,84,Overcast clouds
346,30.0,84,Overcast clouds
347,30.1,78,Overcast clouds
348,30.2,74,Broken clouds
349,30.1,76,Broken clouds
350,30.0,79,Broken clouds
351,29.5,81,Broken clouds
352,29.0,83,Broken clouds
353,29.5,81,Broken clouds
354,30.0,79,Broken clouds
355,29.5,81,Broken clouds
356,29.0,83,Broken clouds
357,29.0,83,Broken clouds
358,29.0,83,Broken clouds
359,28.5,84,Broken clouds
360,28.0,84,Broken clouds
361,28.0,84,Broken clouds
362,28.0,83,Broken clouds
363,28.0,83,Broken clouds
364,28.0,83,Broken clouds
365,28.0,83,Broken clouds
366,28.0,83,Broken clouds
367,28.0,83,Broken clouds
368,28.0,83,Broken clouds
369,28.0,83,Broken clouds
370,28.0,83,Broken clouds
371,27.6,86,Broken clouds
372,27.2,88,Broken clouds
373,27.6,86,Broken clouds
374,28.0,83,Broken clouds
375,27.5,86,Broken clouds
376,27.0,88,Broken clouds
377,27.0,88,Broken clouds
378,27.0,88,Broken clouds
379,27.0,88,Broken clouds
380,27.0,88,Broken clouds
381,27.0,88,Broken clouds
382,27.0,88,Broken clouds
383,27.0,88,Broken clouds
384,27.0,88,Broken clouds
385,27.0,88,Broken clouds
386,27.0,88,Broken clouds
387,27.0,88,Broken clouds
388,27.0,88,Broken clouds
389,27.0,88,Broken clouds
390,27.0,88,Broken clouds
391,27.0,88,Broken clouds
392,27.0,88,Broken clouds
393,27.0,88,Light rain
394,27.0,88,Light rain
395,26.6,91,Light rain
396,26.2,93,Light rain
397,26.1,93,Light rain
398,26.0,94,Light rain
399,26.5,91,Light rain
400,27.0,88,Light rain
401,27.0,88,Light rain
402,27.0,88,Light rain
403,27.0,88,Light rain
404,27.0,88,Light rain
405,26.5,91,Light rain
406,26.0,94,Light rain
407,26.1,93,Light rain
408,26.2,93,Light rain
409,26.1,93,Light rain
410,26.0,94,Overcast clouds
411,26.0,94,Overcast clouds
412,26.0,94,Overcast clouds
413,26.0,91,Overcast clouds
414,26.0,88,Overcast clouds
415,26.0,91,Overcast clouds
416,26.0,94,Overcast clouds
417,26.0,94,Overcast clouds
418,26.0,94,Overcast clouds
419,26.3,92,Overcast clouds
420,26.6,90,Overcast clouds
421,27.3,89,Overcast clouds
422,28.0,88,Overcast clouds
423,28.0,91,Overcast clouds
424,28.0,94,Overcast clouds
425,28.5,91,Overcast clouds
426,29.0,88,Overcast clouds
427,29.0,88,Overcast clouds
428,29.0,88,Overcast clouds
429,29.0,83,Overcast clouds
430,29.0,79,Haze
431,29.2,79,Broken clouds
432,29.4,80,Broken clouds
433,28.2,84,Broken clouds
434,27.0,88,Haze
435,27.5,88,Overcast clouds
436,28.0,88,Overcast clouds
437,28.5,88,Light rain
438,29.0,88,Light rain
439,29.5,86,Light rain
440,30.0,84,Light rain
441,30.0,84,Light rain
442,30.0,84,Light rain
443,30.3,76,Broken clouds
